20        Threads
50        Connections per thread
20000     Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets       100428.75       100.37    100328.38     10.35400      2646.80 
Waits           0.00          ---          ---      0.00000          --- 
Totals     100428.75       100.37    100328.38     10.35400      2646.80 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.250         0.00
GET       0.260         0.00
GET       0.270         0.00
GET       0.280         0.00
GET       0.290         0.00
GET       0.300         0.00
GET       0.310         0.00
GET       0.320         0.00
GET       0.330         0.00
GET       0.340         0.00
GET       0.350         0.00
GET       0.360         0.00
GET       0.370         0.00
GET       0.380         0.00
GET       0.390         0.00
GET       0.400         0.01
GET       0.410         0.01
GET       0.420         0.01
GET       0.430         0.01
GET       0.440         0.01
GET       0.450         0.01
GET       0.460         0.01
GET       0.470         0.01
GET       0.480         0.01
GET       0.490         0.01
GET       0.500         0.01
GET       0.510         0.01
GET       0.520         0.01
GET       0.530         0.01
GET       0.540         0.01
GET       0.550         0.01
GET       0.560         0.01
GET       0.570         0.01
GET       0.580         0.01
GET       0.590         0.02
GET       0.600         0.02
GET       0.610         0.02
GET       0.620         0.02
GET       0.630         0.02
GET       0.640         0.02
GET       0.650         0.02
GET       0.660         0.02
GET       0.670         0.02
GET       0.680         0.02
GET       0.690         0.02
GET       0.700         0.02
GET       0.710         0.02
GET       0.720         0.02
GET       0.730         0.02
GET       0.740         0.02
GET       0.750         0.02
GET       0.760         0.03
GET       0.770         0.03
GET       0.780         0.03
GET       0.790         0.03
GET       0.800         0.03
GET       0.810         0.03
GET       0.820         0.03
GET       0.830         0.03
GET       0.840         0.03
GET       0.850         0.03
GET       0.860         0.03
GET       0.870         0.03
GET       0.880         0.03
GET       0.890         0.03
GET       0.900         0.03
GET       0.910         0.03
GET       0.920         0.03
GET       0.930         0.03
GET       0.940         0.04
GET       0.950         0.04
GET       0.960         0.04
GET       0.970         0.04
GET       0.980         0.04
GET       0.990         0.04
GET       1.000         0.04
GET       1.100         0.05
GET       1.200         0.07
GET       1.300         0.08
GET       1.400         0.09
GET       1.500         0.10
GET       1.600         0.11
GET       1.700         0.13
GET       1.800         0.14
GET       1.900         0.15
GET       2.000         0.15
GET       2.100         0.16
GET       2.200         0.17
GET       2.300         0.18
GET       2.400         0.19
GET       2.500         0.22
GET       2.600         0.30
GET       2.700         0.44
GET       2.800         0.54
GET       2.900         0.60
GET       3.000         0.64
GET       3.100         0.69
GET       3.200         0.73
GET       3.300         0.77
GET       3.400         0.80
GET       3.500         0.83
GET       3.600         0.86
GET       3.700         0.89
GET       3.800         0.92
GET       3.900         0.94
GET       4.000         0.96
GET       4.100         0.98
GET       4.200         1.00
GET       4.300         1.02
GET       4.400         1.04
GET       4.500         1.06
GET       4.600         1.08
GET       4.700         1.11
GET       4.800         1.15
GET       4.900         1.23
GET       5.000         1.43
GET       5.100         1.76
GET       5.200         2.22
GET       5.300         2.82
GET       5.400         3.47
GET       5.500         4.13
GET       5.600         4.85
GET       5.700         5.63
GET       5.800         6.44
GET       5.900         7.23
