20        Threads
50        Connections per thread
20000     Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        97300.51          ---          ---     10.70600     52398.41 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      97300.51         0.00         0.00     10.70600     52398.41 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.240         0.00
SET       0.250         0.00
SET       0.260         0.00
SET       0.270         0.00
SET       0.280         0.00
SET       0.290         0.00
SET       0.300         0.00
SET       0.310         0.01
SET       0.320         0.01
SET       0.330         0.01
SET       0.340         0.02
SET       0.350         0.02
SET       0.360         0.02
SET       0.370         0.02
SET       0.380         0.03
SET       0.390         0.03
SET       0.400         0.03
SET       0.410         0.04
SET       0.420         0.04
SET       0.430         0.04
SET       0.440         0.05
SET       0.450         0.05
SET       0.460         0.06
SET       0.470         0.06
SET       0.480         0.06
SET       0.490         0.07
SET       0.500         0.07
SET       0.510         0.08
SET       0.520         0.08
SET       0.530         0.08
SET       0.540         0.09
SET       0.550         0.09
SET       0.560         0.10
SET       0.570         0.10
SET       0.580         0.10
SET       0.590         0.11
SET       0.600         0.11
SET       0.610         0.12
SET       0.620         0.12
SET       0.630         0.13
SET       0.640         0.13
SET       0.650         0.14
SET       0.660         0.14
SET       0.670         0.14
SET       0.680         0.15
SET       0.690         0.15
SET       0.700         0.16
SET       0.710         0.16
SET       0.720         0.16
SET       0.730         0.17
SET       0.740         0.17
SET       0.750         0.18
SET       0.760         0.18
SET       0.770         0.18
SET       0.780         0.19
SET       0.790         0.19
SET       0.800         0.20
SET       0.810         0.20
SET       0.820         0.20
SET       0.830         0.21
SET       0.840         0.21
SET       0.850         0.22
SET       0.860         0.22
SET       0.870         0.22
SET       0.880         0.23
SET       0.890         0.23
SET       0.900         0.23
SET       0.910         0.24
SET       0.920         0.24
SET       0.930         0.25
SET       0.940         0.25
SET       0.950         0.25
SET       0.960         0.26
SET       0.970         0.26
SET       0.980         0.27
SET       0.990         0.27
SET       1.000         0.29
SET       1.100         0.33
SET       1.200         0.38
SET       1.300         0.42
SET       1.400         0.46
SET       1.500         0.51
SET       1.600         0.56
SET       1.700         0.61
SET       1.800         0.67
SET       1.900         0.72
SET       2.000         0.78
SET       2.100         0.84
SET       2.200         0.91
SET       2.300         0.98
SET       2.400         1.04
SET       2.500         1.11
SET       2.600         1.18
SET       2.700         1.26
SET       2.800         1.34
SET       2.900         1.44
SET       3.000         1.54
SET       3.100         1.64
SET       3.200         1.75
SET       3.300         1.86
SET       3.400         1.96
SET       3.500         2.06
SET       3.600         2.16
SET       3.700         2.25
SET       3.800         2.35
SET       3.900         2.45
SET       4.000         2.55
SET       4.100         2.66
SET       4.200         2.77
SET       4.300         2.89
SET       4.400         3.01
SET       4.500         3.14
SET       4.600         3.28
SET       4.700         3.43
SET       4.800         3.60
SET       4.900         3.80
SET       5.000         4.03
SET       5.100         4.32
SET       5.200         4.66
SET       5.300         5.09
SET       5.400         5.61
SET       5.500         6.20
SET       5.600         6.88
SET       5.700         7.61
SET       5.800         8.39
SET       5.900         9.19
SET       6.000         9.99
SET       6.100        10.80
SET       6.200        11.61
SET       6.300        12.38
SET       6.400        13.09
SET       6.500        13.73
SET       6.600        14.29
SET       6.700        14.79
SET       6.800        15.23
SET       6.900        15.63
SET       7.000        16.02
SET       7.100        16.37
SET       7.200        16.72
SET       7.300        17.06
SET       7.400        17.41
SET       7.500        17.75
SET       7.600        18.10
SET       7.700        18.46
SET       7.800        18.82
SET       7.900        19.19
SET       8.000        19.58
SET       8.100        19.98
SET       8.200        20.39
SET       8.300        20.82
SET       8.400        21.27
SET       8.500        21.74
SET       8.600        22.22
SET       8.700        22.71
SET       8.800        23.21
SET       8.900        23.71
SET       9.000        24.25
SET       9.100        24.80
SET       9.200        25.37
SET       9.300        25.98
SET       9.400        26.63
SET       9.500        27.33
SET       9.600        28.09
SET       9.700        28.91
SET       9.800        29.83
SET       9.900        30.84
SET      10.000        38.31
SET      11.000        61.23
SET      12.000        81.06
SET      13.000        87.86
SET      14.000        90.93
SET      15.000        92.83
SET      16.000        94.74
SET      17.000        96.71
SET      18.000        98.01
SET      19.000        98.73
SET      20.000        99.20
SET      21.000        99.51
SET      22.000        99.69
SET      23.000        99.80
SET      24.000        99.86
SET      25.000        99.90
SET      26.000        99.92
SET      27.000        99.94
SET      28.000        99.94
SET      29.000        99.95
SET      30.000        99.95
SET      31.000        99.96
SET      32.000        99.96
SET      33.000        99.96
SET      34.000        99.96
SET      35.000        99.96
SET      36.000        99.97
SET      37.000        99.97
SET      38.000        99.97
SET      39.000        99.97
SET      40.000        99.97
SET      41.000        99.97
SET      42.000        99.97
SET      43.000        99.97
SET      44.000        99.98
SET      45.000        99.98
SET      46.000        99.98
SET      47.000        99.98
SET      48.000        99.98
SET      49.000        99.98
SET      50.000        99.98
SET      51.000        99.98
SET      52.000        99.98
SET      53.000        99.98
SET      54.000        99.99
SET      55.000        99.99
SET      56.000        99.99
SET      57.000        99.99
SET      58.000        99.99
SET      59.000        99.99
SET      60.000       100.00
SET      61.000       100.00
SET      62.000       100.00
SET      63.000       100.00
SET      64.000       100.00
SET      65.000       100.00
SET      66.000       100.00
SET      67.000       100.00
SET      68.000       100.00
SET      69.000       100.00
SET      70.000       100.00
SET      71.000       100.00
SET      72.000       100.00
SET      73.000       100.00
SET      74.000       100.00
SET      75.000       100.00
SET      76.000       100.00
SET      77.000       100.00
SET      78.000       100.00
SET      79.000       100.00
SET      80.000       100.00
SET      81.000       100.00
SET      82.000       100.00
SET      83.000       100.00
SET      84.000       100.00
SET      85.000       100.00
SET      86.000       100.00
SET      87.000       100.00
SET      88.000       100.00
SET      89.000       100.00
SET      90.000       100.00
SET      91.000       100.00
SET      92.000       100.00
SET      93.000       100.00
SET      94.000       100.00
SET      95.000       100.00
SET      96.000       100.00
SET      97.000       100.00
SET      98.000       100.00
SET      99.000       100.00
SET     100.000       100.00
SET     110.000       100.00
SET     120.000       100.00
SET     130.000       100.00
SET     140.000       100.00
SET     150.000       100.00
---
---
~/memtier_benchmark/memtier_benchmark -c 50 --key-maximum=20000000 --protocol=memcache_text --key-minimum=1 --data-size=512 --server=10.33.46.113 --threads=20 --key-pattern=R:R --ratio=1:0 --requests=20000 --port=11333
